import time: self [us] | cumulative | imported package
import time:       617 |       1073 |                 click.formatting
import time:       434 |        434 |                 click.termui
import time:      1365 |      12981 |               click.core
import time:       478 |        478 |               click.decorators
import time:       599 |      14058 |             click
import time:       557 |        557 |               pygments
import time:      1351 |       1351 |               pygments.lexers._mapping
import time:      1003 |       1003 |               pygments.modeline
import time:       268 |        268 |                     _csv
import time:       603 |        870 |                   csv
import time:       332 |        332 |                       importlib._abc
import time:       114 |        446 |                     importlib.util
import time:      1043 |       1489 |                   zipfile
import time:       287 |        287 |                       importlib.metadata._functools
import time:       318 |        605 |                     importlib.metadata._text
import time:       549 |       1153 |                   importlib.metadata._adapters
import time:       419 |        419 |                   importlib.metadata._meta
import time:       670 |        670 |                   importlib.metadata._collections
import time:       328 |        328 |                   importlib.metadata._itertools
import time:       468 |        468 |                           importlib.resources.abc
import time:       483 |        483 |                           importlib.resources._adapters
import time:       507 |       1457 |                         importlib.resources._common
import time:       517 |        517 |                         importlib.resources._legacy
import time:       353 |       2326 |                       importlib.resources
import time:        16 |       2342 |                     importlib.resources.abc
import time:       542 |       2884 |                   importlib.abc
import time:      1306 |       9116 |                 importlib.metadata
import time:       445 |       9561 |               pygments.plugin
import time:       745 |        745 |               pygments.util
import time:       663 |      13877 |             pygments.lexers
import time:       658 |        658 |                 rich._extension
import time:       985 |       1642 |               rich
import time:       334 |        334 |                 termios
import time:       471 |        804 |               getpass
import time:       434 |        434 |               rich._null_file
import time:       410 |        410 |               rich.errors
import time:       389 |        389 |                       colorsys
import time:      1140 |       1140 |                           rich.color_triplet
import time:       641 |       1781 |                         rich.palette
import time:       433 |       2213 |                       rich._palettes
import time:       766 |        766 |                       rich.repr
import time:       453 |        453 |                       rich.terminal_theme
import time:      1543 |       5362 |                     rich.color
import time:       643 |       6005 |                   rich.style
import time:       547 |       6552 |                 rich.default_styles
import time:      1280 |       1280 |                   configparser
import time:       438 |       1717 |                 rich.theme
import time:       344 |       8613 |               rich.themes
import time:      2053 |       2053 |                 rich._emoji_codes
import time:       486 |       2538 |               rich._emoji_replace
import time:       332 |        332 |               rich._export_format
import time:       283 |        283 |               rich._fileno
import time:       367 |        367 |                   rich._loop
import time:       277 |        277 |                   rich._pick
import time:       352 |        352 |                       rich._cell_widths
import time:       549 |        900 |                     rich.cells
import time:       337 |       1236 |                   rich._wrap
import time:       927 |        927 |                         rich.segment
import time:       327 |       1254 |                       rich.jupyter
import time:       286 |        286 |                         rich.protocol
import time:       484 |        770 |                       rich.measure
import time:       343 |       2366 |                     rich.constrain
import time:       575 |       2941 |                   rich.align
import time:       460 |        460 |                   rich.containers
import time:       428 |        428 |                   rich.control
import time:       442 |        442 |                   rich.emoji
import time:      1278 |       7425 |                 rich.text
import time:       381 |       7805 |               rich._log_render
import time:       553 |        553 |               rich.highlighter
import time:       776 |        776 |               rich.markup
import time:       380 |        380 |               rich.pager
import time:       141 |        141 |                 array
import time:      1323 |       1323 |                       platform
import time:       329 |       1652 |                     attr._compat
